country_txt,gname
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Uganda,National Resistance Movement (NRM)
Colombia,M-19 (Movement of April 19)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
India,Unknown
India,Unknown
India,Unknown
Lebanon,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
India,Sikh Extremists
India,Unknown
West Bank and Gaza Strip,Palestine Liberation Organization (PLO)
West Bank and Gaza Strip,Palestine Liberation Organization (PLO)
United Kingdom,Irish Republican Army (IRA)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
West Bank and Gaza Strip,Palestine Liberation Organization (PLO)
Guatemala,Guatemalan Labor Party (PGT)
Guatemala,Guatemalan Labor Party (PGT)
United States,Jewish Direct Action
Israel,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Lebanon,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
Spain,Autonomous Anti-Capitalist Commandos (CAA)
Angola,National Union for the Total Independence of Angola (UNITA)
South Africa,African National Congress (South Africa)
South Africa,Unknown
Guatemala,Unknown
Colombia,Popular Liberation Army (EPL)
Colombia,Popular Liberation Army (EPL)
Colombia,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
West Bank and Gaza Strip,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Peru,Shining Path (SL)
Israel,Palestinians
Colombia,Unknown
Guatemala,Guerrilla Army of the Poor (EGP)
Lebanon,Force 17
Lebanon,Palestine Liberation Organization (PLO)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
France,Anti-Terrorist Liberation Group (GAL)
Iran,Unknown
Colombia,Revolutionary Armed Forces of Colombia (FARC)
West Germany (FRG),Neo-Nazi Group
India,Unknown
India,Sikh Extremists
Israel,Israeli Terrorist Group
Lebanon,Palestine Liberation Organization (PLO)
Colombia,Unknown
Colombia,Unknown
Colombia,Unknown
Guatemala,Unknown
Guatemala,Unknown
Lebanon,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Israel,Palestine Liberation Organization (PLO)
Mozambique,Unknown
Lebanon,Palestine Liberation Organization (PLO)
Peru,Shining Path (SL)
United States,Army of God
South Africa,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
India,Unknown
Lebanon,Unknown
Colombia,Unknown
South Africa,African National Congress (South Africa)
Guatemala,Revolutionary Organization of People in Arms (ORPA)
Colombia,Popular Liberation Army (EPL)
Colombia,Popular Liberation Army (EPL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Unknown
Guatemala,Unknown
El Salvador,Unknown
France,Anti-Terrorist Liberation Group (GAL)
Spain,Basque Fatherland and Freedom (ETA)
Lebanon,Hezbollah
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Colombia,Unknown
Lebanon,Unknown
Colombia,Unknown
Colombia,Unknown
Colombia,Unknown
Colombia,Unknown
Colombia,Unknown
Colombia,Unknown
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
Colombia,Death to Kidnappers (MAS)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Colombia,Unknown
Colombia,Unknown
Chile,Unknown
Sri Lanka,Death Squad
Nicaragua,Misurasata Indian Organization
Peru,Shining Path (SL)
United Kingdom,Irish Republican Army (IRA)
Bolivia,Unknown
Chile,Unknown
El Salvador,Unknown
El Salvador,Unknown
Israel,Terror Against Terror
Lebanon,Unknown
Lebanon,Hezbollah
Chile,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
West Bank and Gaza Strip,Israeli Terrorist Group
West Bank and Gaza Strip,Terror Against Terror
Peru,Shining Path (SL)
Peru,Unknown
United States,Anti-Abortion Activists
Lebanon,Hezbollah
Sri Lanka,Terrorists
Sri Lanka,Terrorists
Colombia,Popular Liberation Army (EPL)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Lebanon,Unknown
Lebanon,Palestine Liberation Organization (PLO)
United Kingdom,Irish Republican Army (IRA)
El Salvador,National Anti Communist Commando
El Salvador,Unknown
Nicaragua,Nicaraguan Democratic Force (FDN)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Chile,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Ecuador,Unknown
Israel,Abu Nidal Organization (ANO)
Lebanon,Unknown
Guatemala,Unknown
Guatemala,Unknown
Guatemala,Unknown
Guatemala,Unknown
Chile,Manuel Rodriguez Patriotic Front (FPMR)
United Kingdom,Irish Republican Army (IRA)
Nicaragua,Nicaraguan Democratic Force (FDN)
Peru,Shining Path (SL)
United Kingdom,Irish Republican Army (IRA)
Chile,Unknown
Chile,Unknown
Chile,Unknown
Chile,Unknown
United Kingdom,Irish Republican Army (IRA)
Lebanon,Hezbollah
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Supporters of Qadhafi
United Kingdom,Supporters of Qadhafi
United Kingdom,Supporters of Qadhafi
Chad,Idriss Miskine Group
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Unknown
United Kingdom,Unknown
United Kingdom,Irish Republican Army (IRA)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Colombia,Popular Liberation Army (EPL)
Thailand,Unknown
United Kingdom,Supporters of Qadhafi
United Kingdom,Supporters of Qadhafi
South Africa,African National Congress (South Africa)
Greece,Unknown
West Bank and Gaza Strip,Popular Front for the Liberation of Palestine (PFLP)
United Kingdom,Irish Republican Army (IRA)
Colombia,Popular Liberation Army (EPL)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Colombia,Popular Liberation Army (EPL)
South Africa,African National Congress (South Africa)
Nicaragua,Nicaraguan Democratic Force (FDN)
United Kingdom,Supporters of Qadhafi
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Colombia,Popular Liberation Army (EPL)
Nicaragua,Nicaraguan Democratic Force (FDN)
South Africa,African National Congress (South Africa)
Lebanon,Palestine Liberation Organization (PLO)
Greece,Lebanese National Resistance Front
United Kingdom,Irish Republican Army (IRA)
Peru,Shining Path (SL)
Colombia,M-19 (Movement of April 19)
Nicaragua,Nicaraguan Democratic Force (FDN)
Lebanon,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
Lebanon,Palestine Liberation Organization (PLO)
Guatemala,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Unknown
Colombia,M-19 (Movement of April 19)
Colombia,M-19 (Movement of April 19)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Colombia,M-19 (Movement of April 19)
United Kingdom,Ulster Freedom Fighters (UFF)
United States,Jewish Defense League (JDL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
United Kingdom,Irish Republican Army (IRA)
Lebanon,Palestine Liberation Organization (PLO)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
India,People's Liberation Army (India)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Lebanon,Palestine Liberation Organization (PLO)
Lebanon,Hezbollah
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Colombia,M-19 (Movement of April 19)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
United States,The Order (Silent Brotherhood)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Colombia,Popular Liberation Army (EPL)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Colombia,Popular Liberation Army (EPL)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Lebanon,Palestine Liberation Organization (PLO)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Colombia,Popular Liberation Army (EPL)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Unknown
Lebanon,Palestine Liberation Organization (PLO)
France,Unknown
United Kingdom,Irish Republican Army (IRA)
Colombia,Popular Liberation Army (EPL)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
United States,United Freedom Front (UFF)
Lebanon,Palestine Liberation Organization (PLO)
Chile,Unknown
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Chile,Commandos
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Nicaragua,Nicaraguan Democratic Force (FDN)
Peru,Unknown
Guatemala,Revolutionary Organization of People in Arms (ORPA)
Peru,Unknown
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Nicaragua,Misurasata Indian Organization
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
Lebanon,Unknown
Spain,Basque Fatherland and Freedom (ETA)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
India,Sikh Extremists
Spain,Basque Fatherland and Freedom (ETA)
India,Sikh Extremists
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Jordan,Abu Nidal Organization (ANO)
Colombia,Popular Liberation Army (EPL)
Colombia,Popular Liberation Army (EPL)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Peru,Unknown
India,Unknown
United Kingdom,Irish Republican Army (IRA)
Lebanon,Unknown
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Peru,Shining Path (SL)
United States,Black Liberation Army
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Honduras,Unknown
Iraq,Unknown
United Kingdom,Irish Republican Army (IRA)
Lebanon,Palestine Liberation Organization (PLO)
Spain,Unknown
France,Lebanese Armed Revolutionary Faction (LARF)
Sri Lanka,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Ecuador,Unknown
Honduras,Unknown
Honduras,Unknown
Honduras,Cinchoneros Popular Liberation Movement
Honduras,Unknown
Indonesia,Irian Jaya Rebels
United States,Anti-Abortion Activists
Zaire,Congolese National Movement- Lumumba (MNCL)
Zaire,Unknown
Lebanon,Unknown
Lebanon,Unknown
Lebanon,Hezbollah
Philippines,New People's Army (NPA)
Colombia,National Liberation Army of Colombia (ELN)
Iran,Armenians
Lebanon,Unknown
Sri Lanka,Tamils
Nicaragua,Nicaraguan Democratic Force (FDN)
Zaire,Congolese National Movement- Lumumba (MNCL)
United Kingdom,Irish Republican Army (IRA)
India,Unknown
Nicaragua,Nicaraguan Democratic Force (FDN)
Lebanon,Unknown
Sri Lanka,Tamils
Greece,Revolutionary Organization of Socialist Muslims
India,Sikh Extremists
India,Unknown
Iran,Armenian Secret Army for the Liberation of Armenia
Iran,Armenian Secret Army for the Liberation of Armenia
Lebanon,Unknown
Lebanon,Lebanese National Resistance Front
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Peru,Shining Path (SL)
United States,Black Liberation Army
Chile,Unknown
Chile,Unknown
Chile,Unknown
West Bank and Gaza Strip,Popular Front for the Liberation of Palestine (PFLP)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Colombia,Popular Liberation Army (EPL)
Colombia,Popular Liberation Army (EPL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Chile,Unknown
Sri Lanka,Unknown
Nicaragua,Democratic Revolutionary Alliance (ARDE)
India,Unknown
India,Unknown
India,Tripura Nationalists
Nicaragua,Nicaraguan Democratic Force (FDN)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
El Salvador,Revolutionary Workers Party
Sri Lanka,Unknown
Portugal,Popular Forces of April 25
Namibia,South-West Africa People's Organization (SWAPO)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Philippines,Unknown
Sri Lanka,Tamils
Sri Lanka,Tamils
Sri Lanka,Tamils
Mozambique,Mozambique National Resistance Movement (MNR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
France,Unknown
India,Unknown
Nicaragua,Misurasata Indian Organization
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Spain,Basque Fatherland and Freedom (ETA)
Italy,Red Brigades
Spain,Basque Fatherland and Freedom (ETA)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Misurasata Indian Organization
Nicaragua,Misurasata Indian Organization
Nicaragua,Nicaraguan  Revolutionary Armed Force
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Peru,Shining Path (SL)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
Chile,Manuel Rodriguez Patriotic Front (FPMR)
India,Dishmish Regiment
Spain,Basque Fatherland and Freedom (ETA)
Colombia,M-19 (Movement of April 19)
Israel,Democratic Front for the Liberation of Palestine (DFLP)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Movement of the Revolutionary Left (MIR) (Peru)
Colombia,Unknown
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
Greece,November 17 Revolutionary Organization (N17RO)
India,Dishmish Regiment
Nicaragua,Democratic Revolutionary Alliance (ARDE)
South Africa,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
France,Unknown
France,Internal Front
India,Sikh Extremists
Martinique,Unknown
Japan,Unknown
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Colombia,M-19 (Movement of April 19)
United States,May 19 Communist Order
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Chile,Unknown
Chile,Unknown
Chile,Unknown
Martinique,Unknown
Lebanon,Unknown
Colombia,M-19 (Movement of April 19)
Colombia,M-19 (Movement of April 19)
Colombia,M-19 (Movement of April 19)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
India,Sikh Extremists
Nicaragua,Nicaraguan Democratic Force (FDN)
South Africa,African National Congress (South Africa)
South Africa,Unknown
South Africa,Unknown
Chile,Unknown
United Kingdom,Irish Republican Army (IRA)
Spain,Basque Fatherland and Freedom (ETA)
Colombia,M-19 (Movement of April 19)
Peru,Shining Path (SL)
Chile,Unknown
India,Unknown
Iran,Mujahedin-e Khalq (MEK)
Spain,First of October Antifascist Resistance Group (GRAPO)
Spain,First of October Antifascist Resistance Group (GRAPO)
Chile,Unknown
Colombia,M-19 (Movement of April 19)
Colombia,M-19 (Movement of April 19)
India,Unknown
India,Sikh Extremists
United Kingdom,Irish Republican Army (IRA)
India,Unknown
United Kingdom,Irish Republican Army (IRA)
Guatemala,Unknown
Guatemala,Unknown
India,Unknown
Nicaragua,Misurasata Indian Organization
Nicaragua,Misurasata Indian Organization
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Colombia,M-19 (Movement of April 19)
South Africa,Unknown
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Chile,Movement of the Revolutionary Left (MIR) (Chile)
Sri Lanka,Tamils
Sri Lanka,Tamils
Sri Lanka,Tamils
Guatemala,Unknown
Mozambique,Unknown
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Unknown
Peru,Unknown
Peru,Unknown
Nicaragua,Unknown
West Germany (FRG),MLA
Honduras,Unknown
Sri Lanka,Tamils
United Kingdom,Irish Republican Army (IRA)
Sri Lanka,Tamils
Sri Lanka,Tamils
Sri Lanka,Tamils
India,Sikh Extremists
India,Unknown
India,Sikh Extremists
United Kingdom,Irish Republican Army (IRA)
Philippines,New People's Army (NPA)
India,Unknown
India,Sikh Extremists
India,Unknown
Nicaragua,Democratic Revolutionary Alliance (ARDE)
India,Sikh Extremists
Peru,Unknown
United Kingdom,Protestant Extremists
Mozambique,Mozambican Rebels
United Kingdom,Irish National Liberation Army (INLA)
Guatemala,Unknown
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Spain,Basque Fatherland and Freedom (ETA)
Spain,Basque Fatherland and Freedom (ETA)
Peru,Shining Path (SL)
India,Sikh Extremists
India,Sikh Extremists
Guatemala,Unknown
Guatemala,Unknown
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
Peru,Shining Path (SL)
Namibia,South-West Africa People's Organization (SWAPO)
United Kingdom,Irish Republican Army (IRA)
Philippines,Unknown
Chile,Unknown
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
India,Dishmish Regiment
Peru,Unknown
Peru,Unknown
Peru,Unknown
Peru,Unknown
Peru,Unknown
Peru,Unknown
United Kingdom,Irish Republican Army (IRA)
India,Sikh Extremists
India,Sikh Extremists
India,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Peru,Unknown
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Sudan,Unknown
Chile,Unknown
Colombia,Revolutionary Armed Forces of Colombia (FARC)
United Kingdom,Unknown
India,Sikh Extremists
United Kingdom,Irish Republican Army (IRA)
Peru,Unknown
India,Sikh Extremists
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Nicaragua,Democratic Revolutionary Alliance (ARDE)
Peru,Shining Path (SL)
Angola,National Union for the Total Independence of Angola (UNITA)
Peru,Shining Path (SL)
Lesotho,Unknown
India,Sikh Extremists
Namibia,South-West Africa People's Organization (SWAPO)
Namibia,South-West Africa People's Organization (SWAPO)
India,Unknown
United Kingdom,Irish Republican Army (IRA)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
United States,Anti-Abortion Activists
Bolivia,Unknown
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
United States,May 19 Communist Order
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Unknown
El Salvador,Farabundo Marti National Liberation Front (FMLN)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Shining Path (SL)
Peru,Unknown
Peru,Unknown
Peru,Unknown
Colombia,Popular Liberation Army (EPL)
Colombia,Popular Liberation Army (EPL)
India,Sikh Extremists
Colombia,Revolutionary Armed Forces of Colombia (FARC)
El Salvador,Farabundo Marti National Liberation Front (FMLN)
India,Sikh Extremists
Mozambique,Unknown
Peru,Shining Path (SL)
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
France,Katsuhisa Omori
France,Katsuhisa Omori
India,Sikh Extremists
Peru,Shining Path (SL)
Philippines,Unknown
Brazil,Right-wing Terrorists
Brazil,Individuals claimed to be policemen
Colombia,National Liberation Army of Colombia (ELN)
Colombia,Revolutionary Armed Forces of Colombia (FARC)
India,Sikh Extremists
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Nicaragua,Nicaraguan Democratic Force (FDN)
Peru,Shining Path (SL)
Colombia,National Liberation Army of Colombia (ELN)
United States,The Order (Silent Brotherhood)
Israel,Unknown
West Bank and Gaza Strip,Unknown
West Bank and Gaza Strip,Unknown
Israel,Unknown
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
United Kingdom,Irish Republican Army (IRA)
France,Anti-Terrorist Liberation Group (GAL)
India,Unknown
